question_text,question_image,option_a,option_b,option_c,option_d,option_e,correct_answer,score_weight
"Teks 1. (1) Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi. (2) Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango. (3) Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022. (4) Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian. (5) Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola. (6) Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan. (7) Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-69. (8) Argentina mendapat lemparan ke dalam di tengah lapangan. (9) Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia. (10) Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi. (11) Dengan cepat dan cekatan Messi menguasai si kulit bulat. (12) Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022. (13) Sebelum memasuki kotak penalti Messi berhenti sejenak. (14) Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol. (15) Messi mentrobos kotak penalti dan tak terkejar. (16) Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez. (17) Tanpa kesulitan Alvarez menyepak bola masuk ke gawang. (18) Momen tersebut banyak pula direkam oleh suporter yang menonton di stadion. (19) Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi. Gagasan pokok dari bacaan tersebut adalah...",,Lionel Messi mendapat banyak pujian dari suporter,Laga Argentina vs Kroasia menjadi sorotan,Lionel Messi mendapat apresiasi dalam laga Argentina vs Kroasia,Messi membuat lawan tak berdaya,Penampilan terbaik Lionel Messi di laga Piala Dunia 2022,C,1
"Berdasarkan Teks 1. Pada teks tersebut terdapat kesalahan penulisan yang membuat kalimat tidak efektif, ditunjukkan dalam kalimat ke...",,4,7,10,11,16,E,1
Berdasarkan Teks 1. Inti dari kalimat ke-12 adalah...,,Jokso Gvardiol Mendapat penilaian baik selama Piala Dunia 2022,Messi berlari mendekati kotak penalti,Kawalan ketat Josko Gvardiol terhadap Messi,Bek Kroasia mendekati kotak penalti,Messi mendapat penilaian baik,B,1
Berdasarkan Teks 1. Informasi yang tidak terdapat dalam bacaan ditunjukan dalam pernyataan...,,Lionel Messi berhasil mengecoh Gvardiol,Lionel Messi sempat berhenti sebelum memasuki kotak penalti,Suporter memberi pujian kepada Alvarez karena memperoleh dua gol,Lionel Messi mencetak satu gol,Alvarez tidak mengalami kesulitan saat menyepak bola masuk ke gawang,C,1
Berdasarkan Teks 1. Hubungan antara kalimat (5) dan (6) menunjukan...,,Menunjukan permasalahan yang berbeda,Merupakan orientasi dari paragraf kedua,Keduanya saling membuktikan argumentasi,Sudut pandangan berbeda dari permasalahan yang sama,Memberikan argumentasi solusi terkait permasalahan dalam bacaan,C,1
Berdasarkan Teks 1. Perbaikan kata yang tepat adalah...,,Penyerang menjadi menyerang dalam kalimat (9),Mengarah menjadi mengarahkan dalam kalimat (10),Gerakan menjadi pergerakan dalam kalimat (14),Mentrobos menjadi menerobos dalam kalimat (15),Diunggah menjadi di-upload dalam kalimat (19),D,1
"Berdasarkan Teks 1. Pada paragraf pertama, kalimat manakah yang jika dihilangkan akan merusak paragraf tersebut...",,-1,-2,-3,-4,-7,A,1
"Teks 2. (1) Dalam perekonomian di Indonesia, sektor Usaha Mikro Kecil dan Menengah (UMKM) menjadi sektor yang memiliki peranan penting. (2) Dengan jumlah pelaku dan usaha yang cukup signifikan, UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa. (3) Tak cuma sampai di situ, keberadaan aktivitas UMKM, baik tradisional maupun modern, yang tersebar dari kota besar hingga ke pelosok negeri, terbukti mampu untuk menyerap banyak tenaga kerja. (4) Berbagai data dan jurnal yang membahas UMKM di Indonesia menyebutkan bahwa keberadaan UMKM, khususnya sektor mikro dan kecil, telah mampu untuk menahan laju keterpurukan bangsa saat krisis moneter melanda Indonesia pada 1998. (5) Jenis usaha yang mengutamakan produksi barang konsumsi dengan bahan baku dari dalam negeri membuat sektor UMKM tidak terpengaruh secara signifikan atas kondisi saat itu. (6) Selain itu, usaha mikro dan kecil yang modal usahanya tidak berasal dari pinjaman bank ikut disebut menjadi salah faktor yang mendukung UMKM untuk mampu bertahan. (7) Kondisi perekonomian saat itu membuat banyak perusahaan mengalami kebangkrutan ...... banyak pekerja sektor formal yang diberhentikan beralih menjadi pelaku sektor informal. (8) Hal ini yang kemudian membuat jumlah pelaku UMKM di masa krisis justru berkembang pesat dan perlahan membantu perekonomian kembali bangkit. Konjungsi paling tepat untuk melengkapi bagian rumpang dalam kalimat (7) adalah...",,Oleh karena itu,Namun,Dengan,Sehingga,Dan,D,1
Berdasarkan Teks 2. Pada teks tersebut terdapat kalimat tidak baku yang ditunjukkan dalam kalimat ke...,,3,4,5,7,8,A,1
Berdasarkan Teks 2. Topik yang mungkin benar dari teks tersebut adalah...,,Perekonomian Indonesia,Ketahanan UMKM,Aktivitas UMKM,Modal usaha,Perekonomian saat COVID-19,B,1
Berdasarkan Teks 2. Informasi yang terdapat dalam bacaan (krisis) tersebut adalah...,,Modal UMKM yang berasal dari bank yang mampu bertahan,Perusahaan besar mampu bertahan saat krisis terjadi,UMKM tidak terpengaruh secara signifikan atas kondisi saat itu,UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa,UMKM di masa krisis berkembang pesat,C,1
Berdasarkan Teks 2. Pernyataan berikut yang dapat menjadi kesimpulan bacaan...,,UMKM menjadi sektor yang memiliki peranan penting karena UMKM mampu bertahan dalam situasi krisis sehingga perlahan membantu perekonomian bangsa kembali bangkit,UMKM yang modal usahanya tidak berasal dari pinjaman bank ikut disebut menjadi salah faktor yang mendukung UMKM untuk mampu bertahan,Jumlah pelaku UMKM di masa krisis berkembang pesat dan perlahan membantu perekonomian kembali bangkit,"Jumlah pelaku dan usaha yang cukup signifikan, UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa",UMKM tidak terpengaruh secara signifikan atas kondisi saat itu karena memproduksi barang konsumsi dengan bahan baku dari dalam negeri,A,1
"Teks 3. (1) Underground Museum digagas oleh pasangan seniman Noah dan Karon Davis. (2) Sayang, pandemi jadi pukulan berat buat museum. (3) Meski mendapat dukungan dari sejumlah pesohor seperti Tracee Ellis Ross, Beyonce, dan John Legend, museum ini terpaksa tutup pada 2022. (4) Museum ini bergerak untuk memperjuangkan karya seniman dari kalangan kulit berwarna. (5) Di dalamnya terdapat toko buku, ruang pengorganisasian, dan pusat komunitas. (6) Sepeninggal Noah Davis pada 2015, museum masih bertahan. (7) Di situs resmi museum, istri mendiang Noah Davis, Karon Davis mengatakan belum bisa memastikan kapan museum akan dibuka lagi. Inti dari kalimat (7) adalah...",,Istri mendiang Noah Davis,"Di situs resmi museum, istri mendiang Noah Davis, Karon Davis mengatakan belum bisa",Karon Davis mengatakan belum bisa memastikan kapan museum akan dibuka lagi,"Di situs resmi museum, Karon Davis mengatakan",Istri mendiang Noah Davis adalah Karon Davis,C,1
Berdasarkan Teks 3. Makna kata pesohor dalam kalimat ketiga adalah...,,Orang terkenal,Pejabat,Seniman,Budayawan,Orang ahli lukis,A,1
"Berdasarkan Teks 3. Berdasarkan konteks pembahasan seluruh bacaan, apa yang terjadi jika pandemi tidak terjadi...",,Underground Museum akan dibuka pada tahun 2023,Underground Museum tidak ditutup,Karon Davis akan dapat memastikan kapan museum dibuka,"Tracee Ellis Ross, Beyonce, dan John Legend akan datang ke Underground Museum",Underground Museum tetap akan ditutup karena masalah lainnya,B,1
