"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight"
"Teks 1. Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap penataan angkutan di daerah tersebut. Armada angkutan perkotaan yang ada ternyata menambah beban konsumen, terutama yang berasal dari daerah-daerah sehingga angkutan perkotaan (angkot) akan dilebur menjadi satu dalam angkutan pedesaan (angkudes). Para penumpang yang berasal dari desa terpaksa berganti angkutan untuk sampai ke kota, baik pusat pemerintahan kabupaten, pasar, maupun tempat lainnya sehingga menambah biaya. Di samping itu, jumlah kendaraan, khususnya angkudes dan angkot, juga semakin menyusut karena dijual ke luar daerah atau tidak diperpanjang izin trayeknya akibat semakin sepinya penumpang.

1.

Inti bacaan di atas adalah...","","Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap moda transportasi di wilayah tersebut.","Kajian angkutan di Gunungkidul menyimpulkan perlunya penataan angkutan di daerah tersebut.","Pemerintah Daerah Gunungkidul akan melakukan peleburan angkutan perkotaan dan angkutan pedesaan.","Moda transportasi di Gunungkidul tidak cukup efektif.","Terjadi penyusutan jumlah angkutan yang cukup signifikan.","A","1"
"Teks 1. Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap penataan angkutan di daerah tersebut. Armada angkutan perkotaan yang ada ternyata menambah beban konsumen, terutama yang berasal dari daerah-daerah sehingga angkutan perkotaan (angkot) akan dilebur menjadi satu dalam angkutan pedesaan (angkudes). Para penumpang yang berasal dari desa terpaksa berganti angkutan untuk sampai ke kota, baik pusat pemerintahan kabupaten, pasar, maupun tempat lainnya sehingga menambah biaya. Di samping itu, jumlah kendaraan, khususnya angkudes dan angkot, juga semakin menyusut karena dijual ke luar daerah atau tidak diperpanjang izin trayeknya akibat semakin sepinya penumpang.

Pernyataan yang tidak berhubungan dengan isi bacaan di atas adalah ...","","Angkutan perkotaan ternyata menambah beban konsumen.","Penumpang dari desa harus naik angkutan lebih dari satu kali untuk menuju pusat pemerintahan.","Biaya perpanjangan trayek yang mahal membuat pemilik angkutan tidak memperpanjang izin trayeknya.","Terjadi perubahan jumlah kendaraan di Gunungkidul.","Penumpang semakin berkurang sehingga banyak angkutan yang tidak beroperasi.","C","1"
"Teks 2. Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar. Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan Indarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh. Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.

Ide pokok bacaan di atas adalah","","kekayaan budaya Lombok.","membaca naskah lontar sebagai tradisi di Lombok.","pembaca lontar yang populer di Lombok.","isi naskah lontar Lombok.","perlunya pelestarian naskah lontar Lombok.","B","1"
"Teks 2. Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar. Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan Indarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh. Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.

Inti bacaan di atas adalah ...","","Membaca naskah lontar menjadi tradisi di Lombok.","Tradisi membaca naskah lontar sudah mulai ditinggalkan.","Naskah lontar memiliki banyak ajaran.","Membaca naskah lontar dilakukan dalam acara tertentu.","Pembaca naskah lontar sudah lanjut usia.","D","1"
"Teks 2. Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar. Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan Indarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh. Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.

Pernyataan yang berhubungan dengan isi bacaan di atas adalah ...","","Naskah lontar tergerus oleh kemajuan teknologi.","Ada banyak naskah lontar yang hilang.","Generasi muda sudah tidak tertarik membaca naskah lontar.","Nari adalah salah seorang pembaca naskah lontar.","Ada lomba membaca naskah lontar.","D","1"
"Teks 2. Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar. Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan Indarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh. Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.

Perhatikan gambar tabel berikut ini.

Tentukan urutan kebenaran (Benar/Salah) dari pernyataan-pernyataan pada tabel dari atas ke bawah!","img/soal/tabel_soal_6.jpg","Salah - Salah - Benar - Benar - Salah","Benar - Salah - Benar - Salah - Benar","Salah - Benar - Salah - Benar - Salah","Benar - Benar - Benar - Salah - Salah","Salah - Salah - Salah - Benar - Benar","A","1"
"Teks 3. (1) Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. (2) Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. (3) Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut. (4) Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. (5) Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. (6) Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. (7) Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. (8) Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.

Kalimat yang dapat menjadi perbaikan kalimat (7) adalah....","","Pembelian S-400 kepada Turki tidak berkonsisten dengan berbagai komitmen-komitmennya terhadap NATO.","Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO.","Pembelian S-400 oleh Turki tidak konsisten dengan komitmen-komitmennya terhadap NATO.","Pembelian S-400 oleh Turki tidak konsisten kepada NATO.","Turki tidak konsisten dengan membeli S-400.","C","1"
"Teks 3. (1) Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. (2) Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. (3) Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut. (4) Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. (5) Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. (6) Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. (7) Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. (8) Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.

Fakta terkait pembelian S400 oleh Turki terdapat pada kalimat....","","Kalimat (2)","Kalimat (5)","Kalimat (8)","Kalimat (1)","Kalimat (3)","B","1"
"Teks 3. (1) Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. (2) Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. (3) Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut. (4) Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. (5) Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. (6) Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. (7) Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. (8) Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.

Inti kalimat (3) adalah....","","Gedung Putih menyebutkan Turki tetap menjadi mitra strategis","Turki tetap menjadi mitra strategis yang penting","Kerjasama keamanan akan berlanjut","Gedung Putih menyebutkan Turki komitmen-komitmennya terhadap NATO.","Mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut","A","1"
"Teks 3. (1) Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. (2) Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. (3) Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut. (4) Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. (5) Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. (6) Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. (7) Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. (8) Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.

Simpulan bacaan di atas adalah....","","Turki tidak akan menjual S-400 yang dibeli dari Rusia","Amerika Serikat memperingatkan anggota NATO untuk tidak jadi membeli S-400 dari Rusia","Pembelian S-400 merupakan pelanggaran komitmen Turki terhadap NATO","Pembelian senjata buatan Rusia terlarang bagi anggota NATO","Amerika Serikat akan tetap bekerja sama dengan Turki dalam program F-35","C","1"
