"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight","discussion"
"Text 1. In today's economy vocational jobs are becoming more and more important. This is why vocational education programs are popular. Vocational education training provides career and technical education to interested students. These students are prepared as trainees for jobs, jobs that are based upon manual or practical fields or jobs that are related to specific trades, occupations, and vocations. Instructors teach students the knowledge required for their field. Community colleges have long been offering vocational education. These colleges around the country provide certificates in various vocational fields. They also offer certain degree programs that focus on some popular occupations. The vocational field expands each year to include new fields. The training for vocational jobs requires less education than four year degree programs. They are also much less expensive. Instructors at this level of education use traditional methods of teaching. They use lesson plans, teacher resources, worksheets, an other tools in this process. One difference to other education programs is the on-the-job training component. Many students will have the opportunity to work in their field while being educated. Some will be accepted into valuable apprenticeship programs. Some of the jobs in vocational fields include construction workers, blacksmiths, and steelworkers. Today, there are other great choices of vocational jobs. These include retail, tourism, and cosmetology. Also, there are some portions of the information technology field taught. This allows students to decide from a variety of career choices. The retail field is one of those growing career opportunities. Workers can start as trainees and then reach management position. Most retail companies have their own training programs for specific jobs. These make retail even more welcoming to new employees. Tourism is also a great field to consider in the vocational field. This area includes planning trips to being a tour guide. 1. What is the topic of the passage?","","Jobs based upon manual or practical fields.","Increased opportunities for vocational career.","Vocational education for vocational jobs.","Variety of choices of vocational jobs.","Training programs for vocational jobs.","C","1",""
"Based on Text 1, the word ""manual"" in paragraph 1 means...","","Hand-operated","Customary","Doable","Habitual","Concrete","A","1",""
"Based on Text 1, the following statements are true based on the passage, except ....","","Tourism is a potential field in vocational education","Every year new areas of vocational education are developed","On-the-job training is a typical component of vocational education programs","Retail companies open new opportunities for vocational jobs","Nowadays young people prefer practical jobs","E","1",""
"Text 2. The applications, games, and websites that are promoted as 'educational' are not always the best ones for supporting learning. The fact that they are interactive does not necessarily mean that they are much better than an old-fashioned workbook with its right and wrong answers. Children may enjoy these products for a while but then get a bit bored. Thus, they are not the most appropriate or engaging way to learn. Treat so-called 'free' applications with caution. Some will expose your child to advertisements. Others are designed to wait until your child is engaged in a game or storyline and then demand payment before they can go any further. This can lead to frustration as young children do not understand why they cannot continue. Sometimes it is better to make a small payment in advance if the application promises no further purchases. However, some applications are free to download and completely free of advertisements or in-app purchases. Choosing an app needs the same kind of thought and care you would put into buying anything else for your child. Do not rely only on the star rating. Instead, read the user reviews and check the privacy policy if you are worried about the personal information that the app might be collecting. If you want your child to enjoy learning, develop curiosity, and think about things creatively, provide them with a range of games and apps. Open ended games have become progressively more challenging and encourage children to explore and have fun. They are, therefore, more likely to establish a love of learning and to lay the foundation for their future development. Physical activity, reading, and other more 'traditional' activities continue to play a very important part in children's development. But, most parents do rely on screen devices from time to time to engage their child while they are busy with something else. This is not a problem in itself, just as long as children's time is made up of a balanced range of activities. 4. The author reminds readers to be more careful with commercialism in free applications in paragraph(s).....","","1","2","3","1 and 4","2 and 3","B","1",""
"Based on Text 2, how does the idea in sentence 6 relate to the other ideas in paragraph 2?","","Sentence 6 elaborates the other ideas in paragraph 2.","Sentence 6 is the result of the other ideas in paragraph 2.","Sentence 6 strongly contradicts the other ideas in paragraph 2.","Sentence 6 is the implementation of the theory discussed in paragraph 2.","Sentence 6 provides another type of free applications discussed in paragraph 2.","E","1",""
"Based on Text 2, the author would apparently agree that.....","","open-ended games can stimulate children's love for learning","some games and applications are boring because they are too easy","there is no convincing prediction for the future of the games and apps","it is better to pay for games in advance so that children can learn freely","apps star rating provides users with reviews on the good things of games and apps","A","1",""
"Based on Text 2, regarding busy parents' reliance on screen devices to help keep their children entertained, the author assumes that....","","it is the parents' responsibility to make their children less engaged with screen devices","children whose parents are busy with their activities must use screen devices less","parents need to be aware of their children's need for varied activities","such parents' reliance is acceptable as long as the children are given the right proportion of other activities","it is not tolerable as their children need to have more physical activities","D","1",""
"Text 3. Head of the Ombudsman Jakarta, Teguh Nugroho, on Thursday said that the central government does not seem to have a comprehensive vision upon handling the coronavirus (COVID-19) pandemic. In addition to the recent talks of introducing a 'new normal' restriction-loosening concept despite any significant drop in the number of cases. ""The central government is still heavily revolving around political-economy considerations instead of evidence-based policies,"" said Nugroho in a text message to Tempo today, May 28. He expressed his pessimism that the COVID-19 pandemic would be able to be suppressed seeing that the central government, which he claimed, remains to be inconsistent despite taking the role of the decision-maker for every Indonesian region to break the chain of COVID-19 transmission. However, he said that he has seen otherwise. The central government often seems to be adamant to relax the large-scale social restriction (PSBB) and try to introduce the 'new normal' concept amid the spread of the virus. ""The relaxation of the PSBB is not unusual. The first and second PSBB phase had been hampered by the central government,"" said the Ombudsman Jakarta chair. According to Nugroho, the central policies that compromised the success of regional PSBB start from allowing people to travel across regional borders for the Eid homecoming, permitting the activities of work sectors that are excluded from PSBB regulations, up to the recent decision to allow people under 45 years old to go out of their homes and come to work. Nugroho advised people to take an example of Vietnam that has somewhat managed to control and suppress the COVID-19 pandemic. 8. How does author connects ideas between paragraph 1 and 2...","","Paragraph 1 give statement about central government restriction loosening and paragraph 2 exemplify the statement from paragraph 1","Paragraph 1 conclude detailed information about central government restriction loosening from paragraph 2","Paragraph 1 previously mention central government restriction loosening as a non-comprehensive vision and paragraph 2 give further statement about central government restriction loosening","Paragraph 1 supports relationship between statement from Head of Ombudsman and paragraph 2 give reason behind central government lack of vision policy to loosening the restriction","Paragraph 2 give evidences about central government restriction-loosening policies as a bad idea mentioned in paragraph 1","A","1",""
"Based on Text 3, the sentence ""Nugroho advised people to take an example of Vietnam that has somewhat managed to control and suppress press the COVID-19 pandemic"" means...","","Nugroho advise people to cure COVID-19 pandemic like Vietnam","Nugroho warn Vietnam as role model to control COVID-19 pandemic","Nugroho cited Vietnam as role model for Indonesia to control COVID-19 pandemic","Nugroho advice people to follow instruction from Vietnam to control COVID-19 pandemic","Nugroho warn people to follow government instruction from Vietnam to control COVID-19 pandemic","C","1",""
"Based on Text 3, the word ""amid"" in paragraph 3 have similar meaning with...","","Among","Away","Complete","Separate","Comply","A","1",""
