name,passing_grade,career_prospects,descriptions,rating,accreditation,ukt_range,enthusiasts,related_subjects,capacity
Pendidikan Masyarakat (S1),430-460,"Penyuluh Lapangan, Fasilitator Pendidikan Non-Formal, Pengembang Program Komunitas, Widyaiswara, Konsultan Pemberdayaan Masyarakat, PNS Kemendikbud","Prodi Pendidikan Masyarakat UNSIL mendidik mahasiswa untuk menjadi pendidik dan fasilitator di luar sistem pendidikan formal. Mahasiswa mempelajari teori dan praktik pemberdayaan masyarakat, pengembangan sumber daya manusia, serta pengelolaan program pendidikan nonformal seperti PKBM dan lembaga pelatihan. Lulusannya mampu merancang, melaksanakan, dan mengevaluasi program pemberdayaan berbasis komunitas secara mandiri maupun bersama instansi pemerintah.",4,Unggul,Rp500.000 - Rp6.500.000,312,"Sosiologi, Bahasa Indonesia, PKn",77
Pendidikan Bahasa Indonesia (S1),440-470,"Guru Bahasa Indonesia, Editor, Jurnalis, Penulis Konten, Pengajar Bimbel, Peneliti Bahasa, PNS Kemendikbud","Prodi Pendidikan Bahasa Indonesia membekali mahasiswa dengan kompetensi linguistik, sastra, dan pedagogi untuk menjadi pendidik bahasa yang profesional. Kurikulum mencakup tata bahasa Indonesia, kesusastraan, analisis wacana, dan metodologi pengajaran. Mahasiswa juga dilatih dalam pengembangan bahan ajar kreatif dan penggunaan teknologi dalam pembelajaran Bahasa Indonesia.",4.2,Unggul,Rp500.000 - Rp6.500.000,478,"Bahasa Indonesia, Sastra, Sosiologi",80
Pendidikan Bahasa Inggris (S1),450-480,"Guru Bahasa Inggris, Penerjemah, Tour Guide, Staf Hubungan Internasional, Content Writer, Pengajar Kursus Bahasa","Prodi Pendidikan Bahasa Inggris mempersiapkan calon pendidik yang menguasai empat keterampilan berbahasa Inggris secara akademis maupun komunikatif. Mahasiswa mempelajari linguistik terapan, metodologi pengajaran, sastra Inggris, dan penelitian pendidikan bahasa. Program ini juga mengintegrasikan pemanfaatan teknologi digital dalam pembelajaran, sehingga lulusan siap menghadapi tantangan pendidikan abad ke-21.",4.3,Unggul,Rp500.000 - Rp6.500.000,623,"Bahasa Inggris, Bahasa Indonesia",95
Pendidikan Matematika (S1),455-490,"Guru Matematika, Aktuaris, Analis Data, Pengembang Kurikulum, Dosen, Tutor Bimbel, Peneliti Pendidikan","Prodi Pendidikan Matematika UNSIL mencetak pendidik yang menguasai konsep matematika murni sekaligus mampu menyampaikannya secara efektif kepada peserta didik. Mahasiswa mengkaji aljabar, kalkulus, geometri, statistika, dan teori bilangan, disertai dengan metode pembelajaran inovatif. Penelitian pendidikan matematika menjadi bagian integral dari kurikulum untuk mendorong lulusan berkontribusi pada peningkatan kualitas pembelajaran matematika nasional.",4.3,Unggul,Rp500.000 - Rp6.500.000,534,"Matematika, Fisika",80
Pendidikan Biologi (S1),450-480,"Guru Biologi, Peneliti Biologi, Penyuluh Pertanian/Kesehatan, Laboran, Pengembang Kurikulum Sains, Staf BRIN","Prodi Pendidikan Biologi membekali mahasiswa dengan dasar-dasar ilmu biologi yang komprehensif mencakup anatomi, fisiologi, ekologi, genetika, dan mikrobiologi, sekaligus strategi pembelajaran yang efektif. Mahasiswa mendapatkan pengalaman praktis melalui kegiatan laboratorium dan lapangan untuk memperkuat pemahaman konseptual. Lulusan dipersiapkan untuk menjadi guru sains yang inovatif dan peneliti muda di bidang pendidikan sains.",4.2,Unggul,Rp500.000 - Rp6.500.000,407,"Biologi, Kimia, Matematika",77
Pendidikan Ekonomi (S1),440-465,"Guru Ekonomi/Akuntansi, Staf Keuangan, Perencana Ekonomi, Konsultan Bisnis, Pengembang Kurikulum Ekonomi, PNS","Prodi Pendidikan Ekonomi menggabungkan ilmu ekonomi dan ilmu kependidikan untuk menghasilkan pendidik yang kompeten di bidang ekonomi, akuntansi, dan bisnis. Mahasiswa mempelajari teori ekonomi mikro dan makro, manajemen keuangan, koperasi, serta berbagai strategi pembelajaran. Kurikulum dirancang agar lulusan mampu beradaptasi pada dunia pendidikan maupun dunia kerja di sektor ekonomi secara luas.",4,Unggul,Rp500.000 - Rp6.500.000,455,"Ekonomi, Matematika, Akuntansi",77
Pendidikan Geografi (S1),435-460,"Guru Geografi, Analis GIS, Perencana Tata Ruang, Staf BMKG, Peneliti Lingkungan, Konsultan Kebencanaan","Prodi Pendidikan Geografi mempelajari fenomena fisik dan manusia di permukaan bumi serta cara mengajarkannya secara menarik kepada peserta didik. Kurikulum mencakup kartografi, penginderaan jauh, Sistem Informasi Geografi (SIG), geomorfologi, dan geografi sosial. Mahasiswa juga dibekali kemampuan penelitian geografi terapan untuk mendukung pembangunan wilayah dan mitigasi bencana.",4,Unggul,Rp500.000 - Rp6.500.000,318,"Geografi, Fisika, Biologi",76
"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)",440-470,"Guru PJOK, Pelatih Olahraga, Instruktur Kebugaran, Manajer Fasilitas Olahraga, Pengembang Program Rekreasi, Atlet Profesional","Prodi PJOK UNSIL mempersiapkan pendidik yang memiliki kompetensi di bidang olahraga, kesehatan, dan rekreasi secara terintegrasi. Mahasiswa mendapatkan pelatihan intensif berbagai cabang olahraga, anatomi olahraga, fisiologi latihan, dan manajemen kegiatan jasmani. Selain menjadi guru, lulusan juga siap berkarir sebagai pelatih olahraga, instruktur kebugaran, atau pengelola fasilitas olahraga.",4.2,Unggul,Rp500.000 - Rp6.500.000,876,"Penjaskes, Biologi",150
Pendidikan Sejarah (S1),430-455,"Guru Sejarah, Pemandu Wisata Sejarah, Peneliti Kebudayaan, Staf Museum, Arsiparis, Penulis Buku Sejarah, Jurnalis","Prodi Pendidikan Sejarah membentuk pendidik yang kritis dan analitis dalam memahami dan mengajarkan peristiwa-peristiwa sejarah lokal, nasional, dan dunia. Mahasiswa mengkaji sejarah Indonesia, sejarah Asia, sejarah Eropa, historiografi, dan arkeologi, dipadukan dengan metode pembelajaran berbasis sumber primer. Lulusan diharapkan mampu membangkitkan kesadaran sejarah dan kebangsaan pada generasi muda.",3.9,Unggul,Rp500.000 - Rp6.500.000,287,"Sejarah, Sosiologi, Geografi",92
Pendidikan Fisika (S1),420-445,"Guru Fisika, Peneliti Sains, Laboran, Staf BPPT/BRIN, Teknisi Energi Terbarukan, Pengembang Alat Peraga Sains","Prodi Pendidikan Fisika mendidik mahasiswa untuk menguasai konsep fisika dasar dan terapan serta teknik pembelajaran fisika yang inovatif. Kurikulum mencakup mekanika, termodinamika, elektromagnetisme, fisika modern, dan fisika komputasi. Dengan dukungan laboratorium yang lengkap, mahasiswa dilatih untuk melakukan eksperimen sains dan mengembangkan alat peraga pembelajaran guna meningkatkan kualitas pendidikan sains di Indonesia.",3.8,Unggul,Rp500.000 - Rp6.500.000,101,"Fisika, Matematika",52
