"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight"
"Teks 1. Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut, antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai. Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD).

Berdasarkan paragraph 1, manakah dibawah ini pernyataan yang BENAR?","","Kurikulum termasuk sumber daya pendidikan.","Buku-buku pelajaran merupakan kurikulum pendidikan.","Alat bantu mengajar termasuk sumber daya pendidikan.","Tenaga kependidikan termasuk sumber daya pendidikan.","Dana pengelolaan yang memadai termasuk satuan pendidikan.","C","1"
"Teks 1. Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut, antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai. Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD).

Berdasarkan paragraf 1, jika dana pengelolaan tidak memadai. manakah di bawah ini simpulan yang BENAR?","","Komponen-komponen sistem pendidikan tidak dapat berfungsi.","Sistem pendidikan tidak memiliki satuan satuan pendidikan.","Sumber daya pendidikan tidak memiliki kelengkapan.","Tenaga kependidikan tetap dapat berfungsi.","Sistem pendidikan tidak memiliki kurikulum.","A","1"
"Teks 1. Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut, antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai. Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD).

Berdasarkan paragraf 2, jika tahun 2019 anggaran pendidikan mencapai Rp492,5 triliun, manakah di bawah ini simpulan yang PALING MUNGKIN benar?","","Pemerintah melaksanakan isi konstitusi negara.","Pemerintah tidak memperbaiki ruang kelas yang rusak.","Pemerintah membayar gaji pendidik dengan dana APBD.","Pemerintah menaikkan anggaran pendidikan sebesar 20%.","Pemerintah menerapkan UU terbaru untuk menunjang sistem pendidikan.","A","1"
"Teks 1. Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut, antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai. Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD).

Berdasarkan paragraf 2, manakah pernyataan dibawah Ini yang PALING MUNGKIN benar mengenai anggaran pendidikan tahun 2019?","","Anggaran pendidikan akan disimpan sebagai dana alokasi khusus.","Anggaran pendidikan akan diberikan kepada 20,1 juta siswa melalui dana BOS.","Anggaran pendidikan sebesar 57 persen akan dihibahkan ke Kementerian Agama.","Anggaran pendidikan akan digunakan untuk memperbaiki 56 ribu gedung sekolah.","Anggaran pendidikan akan diberikan kepada 472 ribu mahasiswa sebagai beasiswa.","E","1"
"Berdasarkan Gambar 1 (Data Anggaran Pendidikan Indonesia), pada tahun berapa anggaran pendidikan melebihi Rp450 triliun?","img/soal/gambar1.jpg","2015","2016","2017","2018","2019","E","1"
"Berdasarkan Gambar 1 (Data Anggaran Pendidikan Indonesia), pada tahun berapa anggaran pendidikan menunjukkan angka terendah?","img/soal/gambar1.jpg","2011","2012","2013","2014","2015","A","1"
"Berdasarkan Gambar 1, manakah di bawah ini simpulan yang PALING MUNGKIN benar?","img/soal/gambar1.jpg","Anggaran pendidikan Indonesia tidak meningkat setiap tahun.","Anggaran pendidikan Indonesia mengalami penurunan sejak tahun 2016.","Anggaran pendidikan Indonesia berada pada rentang Rp200-Rp500 triliun.","Anggaran pendidikan Indonesia selalu mengalami peningkatan setiap tahun.","Anggaran pendidikan Indonesia tahun 2016 - 2017 tidak mengalami peningkatan.","C","1"
"Teks 2. Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$ 20,63 miliar dan minyak sawit US$ 17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$ 3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya.

Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang BENAR?","","Industri tekstil dan garmen menyerap 250 juta tenaga kerja.","Industri tekstil termasuk tiga besar sektor manufaktur Indonesia.","Industri tekstil berhasil mengekspor produk senilai US$11,8 miliar.","Industri tekstil merupakan kebutuhan pokok seluruh rakyat Indonesia.","Industri tekstil tanah air dipantau oleh Asosiasi Pertekstilan Indonesia (API).","B","1"
"Teks 2. Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$ 20,63 miliar dan minyak sawit US$ 17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$ 3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya.

paragraf 1, jika penduduk Indonesia berjumlah 250 juta jiwa, manakah dibawah ini simpulan yang BENAR?","","Setiap penduduk dapat memproduksi garmen.","Setiap penduduk membutuhkan produk pakaian jadi.","Setiap penduduk dapat memulai usaha di sektor manufaktur.","Setiap penduduk harus bekerja di industri tekstil dan garmen.","Setiap penduduk dapat menjadi anggota Asosiasi Pertekstilan Indonesia (API).","B","1"
"Teks 2. Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$ 20,63 miliar dan minyak sawit US$ 17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$ 3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya.

paragraf 2, manakah pernyataan di bawah ini yang PALING MUNGKIN benar mengenai industri konveksi?","","Industri konveksi merupakan produk ekspor impor Indonesia.","Industri konveksi termasuk dalam pendapatan sektor nonmigas.","Industri konveksi memiliki nilai ekspor lebih tinggi daripada batu bara.","Industri konveksi merupakan sektor manufaktur terbesar di Indonesia.","Industri konveksi memiliki nilai ekspor lebih tinggi daripada kelapa sawit.","B","1"
