Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Penalaran Umum|Day 1|1|Apabila tidak pernah menang dalam kompetisi tingkat daerah, atlet tidak boleh ikut audisi untuk pertandingan nasional. Hal ini berlaku bagi atlet badminton. Manakah simpulan berikut yang BENAR?|Atlet badminton diharapkan menang dalam kompetisi daerah agar dapat mengikuti kegiatan audisi nasional.|Semua atlet boleh ikut audisi untuk pertandingan nasional jika pernah me- nang dalam kompetisi daerah.|Para atlet boleh ikut audisi untuk pertandingan nasional meski tidak pernah menang di kompetisi daerah.|Semua atlet pernah menang dalam kegiatan kompetisi di tingkat daerah, kecuali para pemain badminton.|Atlet badminton tidak boleh mengikuti audisi pertandingan nasional jika tidak pernah menang di kompetisi daerah.|E|
Penalaran Umum|Day 1|2|Siswa Sekolah JKH yang menjadi juara nasional paduan suara mampu membuat lagu. Sebagian dari mereka juga mampu bermain teater musikal lebih baik dari siswa sekolah lain. Berdasarkan informasi di atas, manakah simpulan yang PALING TEPAT?|Semua siswa Sekolah JKH yang menjadi juara nasional lomba paduan suara mampu bermain teater musikal.|Sebagian siswa yang kurang mahir dalam bermain teater bukan merupakan siswa dari Sekolah JKH.|Siswa Sekolah JKH yang memenangkan juara nasional lomba paduan suara mampu membuat lagu dan bermain teater.|Beberapa siswa Sekolah JKH mampu membuat lagu, tetapi tidak bisa mem- buat teater musikal.|Beberapa siswa Sekolah JKH yang dapat membuat lagu juga dapat bermain teater musikal lebih baik dari sekolah lain.|E|
Penalaran Umum|Day 1|3|Pada akhir pekan, SR akan menemani ibu arisan atau mengantar kakak bertemu temannya. Adiknya mengajaknya mengunjungi pameran buku. Karena lokasi pameran terlalu jauh, keduanya tidak jadi pergi ke pameran buku. Apa yang PALING MUNGKIN dilakukan SR pada akhir pekan?|Menemani ibu arisan dan mengantar kakak bertemu temannya.|Menikmati akhir minggu dengan bersantai bersama keluarga di rumah.|Menemani ibu arisan atau mengantar kakak bertemu temannya.|Menemani ibu arisan, tetapi tidak mengantar kakak bertemu temannya.|Mengantar kakak bertemu temannya, tetapi tidak menemani ibu arisan.|C|
Penalaran Umum|Day 1|4|Ketika festival seni tradisional diadakan di Pulau ABC, jumlah wisatawan me- ningkat dibandingkan ketika kegiatan tersebut tidak dilakukan. Hal serupa ter- jadi ketika pameran lukisan diadakan di Pulau ABC. Namun, ketika Pulau ABC mengadakan perayaan adat daerah, jumlah wisatawan yang datang tidak meng- alami peningkatan. Berdasarkan informasi di atas manakah dari pernyataan berikut yang PALING MUNGKIN BENAR?|Meskipun pameran lukisan diadakan di pulau lain, jumlah kunjungan wi- satawan ke Pulau ABC tetap meningkat.|Jumlah wisatawan akan mengalami penurunan ketika tidak diadakan kegi- atan pameran lukisan di Pulau ABC.|Mengadakan festival seni tradisional atau pameran lukisan di pulau lain akan menurunkan jumlah wisatawan di Pulau ABC.|Mengadakan perayaan adat meningkatkan jumlah wisatawan dibandingkan dengan tidak mengadakannya.|Mengadakan festival seni tradisional atau pameran lukisan di Pulau ABC meningkatkan jumlah kunjungan wisatawan.|E|
Penalaran Umum|Day 1|5|Banyaknya rumah kosong yang terbengkalai di suatu kampung menyebabkan ru- mah ditumbuhi tanaman liar. Banyaknya tanaman liar menyebabkan munculnya banyak nyamuk. Meskipun pengurus kampung telah melakukan sosialisasi pola hidup sehat, angka penyakit malaria tidak menurun karena banyaknya nyamuk di kampung tersebut. Berdasarkan informasi di atas, manakah pernyataan di bawah ini yang BENAR?|Meningkatnya kasus malaria disebabkan oleh banyaknya rumah kosong ter- bengkalai.|Lebatnya tanaman liar disebabkan kurang tepatnya sosialisasi pola hidup sehat oleh pengurus kampung.|Banyaknya nyamuk menyebabkan pengurus kampung melakukan sosialisasi pola hidup sehat. bengkalai. iA|Adanya sosialisasi pola hidup sehat menjadikan banyak rumah kosong ter-|Banyaknya nyamuk di kampung tersebut disebabkan oleh banyaknya rumah terbengkalai.|A|
Penalaran Umum|Day 1|6|Listrik banyak digunakan orang untuk mendapatkan pencahayaan di dalam ru- angan. Selain itu, listrik juga menjadi sarana untuk menggerakkan mesin di pabrik. Namun, penggunaan listrik yang berlebihan dapat menyebabkan dam- pak negatif bagi diri sendiri dan lingkungan. Penggunaan listrik yang berlebihan dapat membebani anggaran rumah tangga dan meningkatkan polusi udara. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI SA- LAH?|Polusi udara meningkat karena penggunaan listrik yang berlebihan.|Anggaran rumah tangga meningkat karena penggunaan listrik.|Listrik dapat menyebabkan orang dapat mengatur suhu ruangan.|Pengguna peralatan elektronik mungkin tidak menggunakan listrik.|Penggunaan listrik berlebihan tidak menyebabkan polusi udara dan air.|E|
Penalaran Umum|Day 1|7|Mengonsumsi sayuran mentah banyak dilakukan karena rasanya yang segar dan variasinya berbagai macam. Salah satu jenis sayuran mentah yang banyak dikon- sumsi adalah sayuran jenis X yang warnanya yang cerah dan banyak mengandung air. Berdasarkan paparan tersebut, manakah simpulan yang PALING TEPAT?|Semua sayuran yang masih mentah banyak mengandung air.|Sayuran mentah selain jenis X tidak memiliki warna yang cerah.|Hanya sayuran mentah jenis X yang variasinya berbagai macam.|Beberapa orang makan sayuran mentah jenis X karena menggugah selera.|Sayuran mentah yang rasanya segar pasti warnanya cerah.|N/A|
Penalaran Umum|Day 1|8|Saat ini hanya ada beberapa penjual asongan di stasiun kota karena stasiun kota penumpang. sepi penumpang. Biasanya, jika jam kantor selesai, stasiun kota ramai dipenuhi Berdasarkan pernyataan di atas, manakah simpulan yang BENAR?|Saat ini waktunya jam kantor selesai.|Saat ini stasiun kota ramai oleh penumpang.|Saat ini bukan waktunya jam kantor selesai.|Saat ini stasiun kota ramai dengan pedagang asongan.|Saat ini banyak penumpang kereta di stasiun kota.|D|
Penalaran Umum|Day 1|9|Siswa X menjuarai olimpiade matematika berkat dukungan keluarga dan dorong- an dalam dirinya. Adanya dorongan dalam diri terlihat dari pengurangan waktu bermain dan intensitas mengikuti bimbingan di luar kelas. Selain itu, dukungan keluarga menyebabkan siswa lebih percaya diri yang ditunjukkan oleh sikapnya yang tenang saat menghadapi lomba dan optimis saat mengikuti kejuaraan. Jika siswa X merasa optimis saat mengikuti kejuaraan, manakah kesimpulan di bawah ini yang PALING MUNGKIN BENAR?|Keluarganya memberikan dukungan penuh kepada siswa tersebut.|Siswa tersebut secara konsisten mengurangi waktu bermainnya.|Siswa X memiliki dorongan yang sangat kuat untuk menjadi juara.|Siswa tersebut mengikuti bimbingan belajar dengan konsentrasi yang tinggi.|Siswa tersebut sering menjuarai perlombaan olimpiade matematika.|N/A|
Penalaran Umum|Day 1|10|Taman bermain yang selalu ramai dihibahkan kepada warga setempat untuk dikelola guna menambah pemasukan bagi warga. Setelah dikelola selama satu tahun, jumlah pengunjung menurun dan banyak penjual makanan ringan yang tutup. Manakah pernyataan yang PALING MUNGKIN menjelaskan perbedaan kedua kondisi tersebut?|Warga setempat tidak melakukan penggantian fasilitas bermain yang sudah rusak.|Setelah dikelola warga, tidak dilakukan perbaikan layanan pada taman ber- main.|Taman bermain sering digunakan untuk kegiatan lain yang dapat merusak fasilitas. berkala. iA|Pada awal warga mengelola taman tersebut, taman bermain dirawat secara|Taman tersebut tidak pernah mendapatkan pengarahan dari dinas pariwi- sata setempat.|B|
Penalaran Umum|Day 1|11|Warga remaja perkotaan mulai menyukai mengenakan pakaian unik dengan warna-warna yang kontras dan berkilau. Banyak di antara mereka yang meng- enakannya untuk sekadar berjalan-jalan di pusat perbelanjaan. Para pengamat melihat bahwa hal tersebut memengaruhi perkembangan bisnis dunia fesyen. Berdasarkan tulisan di atas, manakah yang PALING MUNGKIN mendasari ar- gumen pengamat?|Remaja kota menyalurkan ekspresinya melalui pakaian yang dikenakan.|Pakaian dapat menjadi media peningkatan pengakuan terhadap remaja.|Kegiatan remaja ibu kota tidak hanya dilakukan di pusat perbelanjaan.|Para pengusaha di bidang fesyen mengamati kreasi pakaian remaja kota.|Banyak toko yang menjual pakaian-pakaian unik khusus untuk remaja.|E|
Penalaran Umum|Day 1|12|Ahli Pendidikan 1 menyatakan bahwa Sekolah O memiliki kualitas sebagai se- kolah alam yang lebih baik dibandingkan dengan Sekolah P. Ahli Pendidikan 2 menyatakan bahwa Sekolah P menggunakan lebih banyak waktunya untuk bela- jar teori di ruangan kelas. Fakta menyatakan bahwa Sekolah P mendapat peng- hargaan adiwiyata, yaitu sekolah yang mengintegrasikan lingkungan ke dalam sekolah. Manakah pernyataan yang PALING TEPAT berdasarkan fakta tersebut?|Memperkuat pernyataan Ahli Pendidikan 1.|Memperlemah pernyataan Ahli Pendidikan 1.|Memperkuat pernyataan Ahli Pendidikan 2.|Memperlemah pernyataan Ahli Pendidikan 2.|Tidak relevan dengan pernyataan Ahli Pendidikan 1 dan Ahli Pendidikan 2.|B|
Penalaran Umum|Day 1|13|Melukis bermanfaat untuk meningkatkan kemampuan kecerdasan karena meng- embangkan pemikiran abstrak. Selain itu, melukis juga melatih motorik halus dan mengembangkan kreativitas. Meskipun demikian, terlalu lama melukis da- pat berdampak negatif, seperti memunculkan rasa bosan yang dapat menurunkan minat belajar. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI BE- NAR?|Beberapa orang yang memiliki minat belajar tinggi akan menyukai kegiatan melukis.|Kegiatan melukis cenderung menurunkan minat belajar seseorang.|Beberapa masalah terkait kejenuhan disebabkan melukis yang terlalu lama.|Kurangnya daya kreativitas dapat diatasi dengan melakukan kegiatan me- lukis.|Orang yang mengalami rasa bosan biasanya menghabiskan waktunya de- ngan melukis.|C|
Penalaran Umum|Day 1|14|Kota ZZ dikenal sebagai kota hijau yang mengutamakan kesehatan lingkungan. Hal ini terlihat dari berbagai program ramah lingkungan yang diterapkan, seperti penanaman pohon secara berkala di ruang umum. Selain itu, pemerintah kota juga memberikan insentif kepada RT yang berpartisipasi aktif dalam kegiatan pelestarian lingkungan. Berdasarkan data yang tercatat, setidaknya setiap tahun ada lima RT yang mendapatkan penghargaan. Berdasarkan paragraf di atas manakah di bawah ini pernyataan yang PALING MUNGKIN BENAR mengenai Kota ZZ?|Jumlah RT yang mendapatkan penghargaan akan meningkat setiap tahun.|Kota ZZ hanya memberikan insentif kepada warga menanam pohon di ruang umum.|Setiap tahun ada RT yang akan mendapatkan insentif dari Pemerintah Kota ZZ.|Pemerintah Kota ZZ tidak memberikan insentif sebelum ada program ramah lingkungan.|Sebelum ada penghargaan, tidak ada RT ikut dalam program ramah ling- kungan.|C|
Penalaran Umum|Day 1|15|Seorang remaja hendak membeli sepatu yang nyaman untuk berlari. Sepatu X cocok dengan kebutuhannya, tetapi harganya mahal. Sepatu Y kurang cocok, tetapi harganya murah. Pelari tersebut akhirnya membeli sepatu X untuk me- menuhi kebutuhannya sambil menghindari lecet kaki saat dipakai di lapangan. Manakah yang PALING MEMPERKUAT keputusan remaja tersebut?|Remaja tersebut sering berolahraga dengan menggunakan sepatu tersebut.|Remaja tersebut memiliki tabungan yang cukup untuk membeli sepatu.|Kenyamanan sepatu bukan pertimbangan penting untuk berlari jarak jauh.|Sepatu X banyak digunakan oleh para pelari jarak jauh profesional.|Sepatu Y memiliki model yang menarik sehingga banyak dipakai remaja.|B|
Penalaran Umum|Day 1|16|Kualitas suara gitar dinilai sebagai faktor yang paling dibutuhkan untuk mendu- kung keberhasilan pemusik saat di panggung. Peneliti berpendapat bahwa suara gitar merek X kurang jernih dibandingkan merek Y. Manakah pernyataan di bawah ini yang PALING MEMPERLEMAH pendapat peneliti tersebut?|Gitar merek Y sering dipakai oleh pemusik konser-konser besar.|Gitar merek X lebih jarang digunakan pemusik profesional.|Gitar merek Y sudah terkenal kualitasnya di kalangan pemusik.|Kualitas lagu ditentukan oleh kreativitas pemusik.|Gitar merek X dibuat dari bahan pilihan yang berkualitas.|E|
Penalaran Umum|Day 1|17|Manajer Keuangan PT X mengungkapkan bahwa tingkat pembelian bahan baku mengalami kenaikan yang berarti dalam dua semester ini. Hal ini disebabkan PT X berhasil menjalankan program promosi di akhir tahun. Manakah pernyataan berikut yang jika benar akan MEMPERKUAT pernyataan Manajer Keuangan PT X?|Jumlah peserta program promosi di akhir tahun belakangan ini lebih ba- nyak.|Perusahaan-perusahaan lain tidak menjalankan program promosi di akhir tahun.|Tidak semua pelanggan memanfaatkan program promosi di akhir tahun.|Sejak dulu, pelanggan tertarik mengikuti program promosi di akhir tahun.|Program promosi di akhir tahun fokus pada penjualan produk baru.|N/A|
Penalaran Umum|Day 1|18|Sejak dahulu, masyarakat Desa XY melestarikan tradisi tarian ritual sakral yang mengandung nilai-nilai sosial yang tinggi untuk menyatukan masyarakat desa. Seperti halnya api unggun yang menghangatkan dan menyatukan orang-orang di malam yang dingin, tarian itu menjadi simbol keakraban dan kebersamaan masyarakat sehingga mempererat ikatan antargenerasi. Jika persatuan masya- rakat memudar, rasa memiliki terhadap tradisi Desa XY akan berkurang dan kemungkinan konflik antarwarga akan meningkat. Berdasarkan paragraf tersebut, jika tarian ritual disamakan dengan api unggun, manakah di bawah ini simpulan yang PALING MUNGKIN BENAR?|Tradisi api unggun yang tidak dilestarikan menurunkan rasa memiliki ter- hadap tradisi Desa XY.|Jika tradisi tarian ritual sakral dilestarikan, konflik antarwarga dapat dice- gah.|Tingginya konflik antarwarga desa ditandai dengan seringnya terjadi ritual diadakan.|Ikatan antargenerasi tidak akrab hanya jika tradisi tarian ritual tidak di- lestarikan.|Tradisi tarian ritual sakral seperti apu unggun yang menyatukan masyara- kat desa.|N/A|
Penalaran Umum|Day 1|19|Seorang atlet lari ingin meningkatkan performa tubuhnya untuk menghadapi kompetisi tingkat nasional. Karena harus menjaga asupan gizi dengan anggar- an yang terbatas, ia harus memilih antara mengonsumsi makanan tinggi protein atau mengonsumsi makanan tinggi karbohidrat. Jika memilih makanan tinggi protein, ia dapat menghasilkan otot yang lebih kuat. Namun, jika memilih ma- kanan tinggi karbohidrat, ia akan memiliki lebih banyak energi untuk latihan dan mengikuti kompetisi. Berdasarkan bacaan di atas, manakah dari pernyataan berikut yang PALING TEPAT menggambarkan keputusan atlet lari tersebut?|Jika memilih makanan tinggi protein, ia akan memiliki otot yang kuat ma- upun memiliki lebih banyak energi untuk latihan dan mengikuti kompetisi.|Jika keduanya, ia akan memiliki otot yang kuat atau memiliki lebih banyak energi untuk latihan dan mengikuti kompetisi.|Jika memilih salah satu jenis makanan, ia akan memiliki otot yang kuat atau memiliki lebih banyak energi untuk latihan dan mengikuti kompetisi.|Jika memilih makanan tinggi karbohidrat, ia tidak akan memiliki otot yang kuat.|Jika memilih salah satu jenis makanan, ia tidak akan memiliki otot yang kuat dan memiliki lebih banyak energi untuk latihan dan mengikuti kom- petisi.|N/A|
Penalaran Umum|Day 1|20|Untuk bisa menjadi partisipan di konferensi ilmiah tentang anak berkebutuhan khusus, peserta harus mengirimkan abstrak kerja ilmiahnya. Karyanya terse- but belum pernah dipublikasikan dalam media apapun. Salah satu karya ilmiah Dosen X dipublikasikan dalam jurnal nasional milik Universitas Y. Kesimpulan- nya, Dosen X pernah menjadi partisipan dalam konferensi ilmiah tentang anak berkebutuhan khusus. Manakah pernyataan berikut yang menggambarkan kualitas kesimpulan terse- but?|Kesimpulan tidak relevan dengan informasi yang diberikan.|Kesimpulan tersebut memiliki kemungkinan salah.|Kesimpulan tersebut dapat dipastikan benar.|Kesimpulan tersebut memiliki kemungkinan benar.|Kesimpulan tersebut dapat dipastikan salah. u k|A|
Penalaran Umum|Day 1|21|Suatu turnamen olahraga dilaksanakan selama seminggu. Jumlah penonton tur- namen olahraga tersebut dari hari ketiga sampai dengan hari ketujuh berturut- turut adalah 66, 73, 70, 77, dan 74. Jika jumlah penonton turnamen olahraga tersebut bersifat konstan sejak hari pertama, jumlah penonton turnamen olahra- ga di hari pertama adalah|62|63|70|72|76|A|
Penalaran Umum|Day 1|22|Di koloni Mars pada tahun 2100, oksigen, air, dan makanan diproduksi dengan rasio 5 : 4 : 3 untuk mendukung kehidupan. Jika persediaan oksigen yang digu- nakan dalam sehari adalah 50 liter, berapa liter makanan yang dibutuhkan?|20 liter|25 liter|30 liter|35 liter|40 liter|C|
Penalaran Umum|Day 1|23|Bilangan yang PALING MENDEKATI hasil pengurangan 7, 79 – 87% adalah …|6 1|6|6 5 7|7 1|7|E|
Penalaran Umum|Day 1|24|Diagram garis tersebut menunjukkan data usaha dagang. Berdasarkan data da- lam diagram tersebut, manakah pernyataan yang PALING TEPAT untuk meng- gambarkan neraca keuangan hasil dagang pecah belah pada tahun 2024?|Usaha dagang pecah belah mengalami kerugian.|Besarnya kerugian sama dengan tahun sebelumnya.|Usaha dagang pecah belah akan ditutup.|Hasil usaha akan meningkat.|Pedagang akan menambah modal usaha.|E|
Penalaran Umum|Day 1|25|Diagram garis di bawah menunjukkan data rekrutmen Perusahaan. Berdasarkan data dalam diagram tersebut, pada tahun berapa perusahaan menerima pelamar dengan persentase PALING KECIL?|2019|2020|2021|2022|2023|D|
Penalaran Umum|Day 1|26|Diagram di bawah menunjukkan data peserta lomba senam di Desa A. Jika total peserta senam di Desa A adalah 200 orang, total jumlah peserta senam yang hadir kurang dari 20% adalah …|60|72|74|98|102|D|
