question_text,question_image,option_a,option_b,option_c,option_d,option_e,correct_answer,score_weight
"Bacalah paragraf berikut: 'Urbanisasi yang tidak terkendali menyebabkan berbagai masalah sosial di kota-kota besar. Kemacetan, permukiman kumuh, dan meningkatnya angka kriminalitas menjadi dampak nyata yang harus segera ditangani pemerintah.' Ide pokok paragraf tersebut adalah...",,Dampak kemacetan di kota besar,Masalah permukiman kumuh akibat urbanisasi,Urbanisasi tidak terkendali menyebabkan masalah sosial,Meningkatnya kriminalitas di perkotaan,Pemerintah harus menangani urbanisasi,C,1
Kata 'ambigu' memiliki makna yang paling tepat adalah...,,Memiliki dua makna yang berlawanan,Tidak memiliki makna yang jelas,Dapat ditafsirkan lebih dari satu makna,Makna yang selalu berubah-ubah,Kata yang bermakna konotatif,C,1
Kalimat berikut yang menggunakan kata baku dengan benar adalah...,,Kami sedang membicarakan masalah itu kemarin,Dia mengkonsumsi obat secara rutin setiap hari,Tolong fotocopy dokumen ini sebanyak tiga lembar,Mereka sedang mendiskusikan rancangan anggaran,Para hadirin dimohon untuk duduk dengan tertib,D,1
"Bacalah kalimat berikut: 'Meskipun hujan deras mengguyur kota, pertandingan sepak bola tetap berlangsung.' Konjungsi yang digunakan dalam kalimat tersebut menyatakan hubungan...",,Sebab-akibat,Syarat,Pertentangan/konsesi,Tujuan,Waktu,C,1
"Perhatikan paragraf berikut: 'Membaca buku secara rutin memberikan banyak manfaat. Pertama, membaca dapat meningkatkan kosakata. Kedua, membaca melatih kemampuan berpikir kritis. Ketiga, membaca dapat mengurangi stres.' Jenis paragraf tersebut adalah...",,Paragraf deskriptif,Paragraf naratif,Paragraf eksposisi,Paragraf argumentasi,Paragraf persuasi,C,1
Sinonim kata 'konkret' yang paling tepat adalah...,,Abstrak,Nyata,Imajinatif,Teoretis,Simbolis,B,1
Kalimat yang mengandung kesalahan penggunaan ejaan adalah...,,Ibu membeli sayur-mayur di pasar tradisional,Anak-anak bermain di lapangan dengan riang gembira,Ia berfikir panjang sebelum mengambil keputusan,Para atlet berlatih keras menjelang kompetisi nasional,Mereka berdiskusi tentang isu lingkungan hidup,C,1
"Bacalah teks berikut: 'Gaya hidup sedentari atau kurang gerak kini menjadi ancaman kesehatan global. Riset menunjukkan bahwa orang yang jarang berolahraga memiliki risiko lebih tinggi terkena penyakit jantung, diabetes, dan obesitas.' Pernyataan yang sesuai dengan isi teks adalah...",,Gaya hidup sedentari hanya terjadi di negara berkembang,Olahraga berlebihan menyebabkan penyakit jantung,Kurang gerak meningkatkan risiko beberapa penyakit berbahaya,Diabetes hanya disebabkan oleh pola makan yang buruk,Riset kesehatan global berfokus pada masalah obesitas,C,1
Penggunaan tanda baca yang benar terdapat pada kalimat...,,"Andi berkata, saya akan datang besok pagi.","Ibu membeli: apel, jeruk, dan mangga di toko buah.","Selamat pagi, Bapak Direktur, kami siap memulai rapat.","Dia tidak tahu, bahwa ujian sudah dimulai.","Mereka pergi ke Bandung, Jawa Barat untuk berlibur",C,1
Kata berimbuhan yang bermakna 'tempat' terdapat pada kata...,,Pelajaran,Minuman,Pemukiman,Pertanian,Lautan,C,1
"Bacalah kalimat berikut: 'Ekonomi negara itu seperti roda yang terus berputar — kadang di atas, kadang di bawah.' Majas yang digunakan dalam kalimat tersebut adalah...",,Personifikasi,Hiperbola,Simile,Metonimia,Eufemisme,C,1
Penulisan kata serapan yang benar adalah...,,"Tehnik, sistim, aktifitas","Teknik, sistem, aktivitas","Teknik, sistim, aktivitas","Tehnik, sistem, aktifitas","Tehnik, sistim, aktivitas",B,1
"Bacalah paragraf berikut: 'Keberhasilan seseorang tidak datang secara kebetulan. Di balik setiap kesuksesan, selalu ada kerja keras, ketekunan, dan pengorbanan yang tidak terlihat oleh orang lain.' Kalimat yang menyatakan simpulan dari paragraf di atas adalah...",,Keberhasilan seseorang hanya bergantung pada keberuntungan,Kerja keras adalah satu-satunya kunci kesuksesan,Kesuksesan merupakan hasil dari proses panjang yang tidak mudah,Pengorbanan selalu tampak oleh orang-orang di sekitar kita,Ketekunan tidak diperlukan jika seseorang sudah berbakat,C,1
